INCIDENT_DATE,INCIDENT_TIME,UOF_NUMBER,OFFICER_ID,OFFICER_GENDER,OFFICER_RACE,OFFICER_HIRE_DATE,OFFICER_YEARS_ON_FORCE,OFFICER_INJURY,OFFICER_INJURY_TYPE,OFFICER_HOSPITALIZATION,SUBJECT_ID,SUBJECT_RACE,SUBJECT_GENDER,SUBJECT_INJURY,SUBJECT_INJURY_TYPE,SUBJECT_WAS_ARRESTED,SUBJECT_DESCRIPTION,SUBJECT_OFFENSE,REPORTING_AREA,BEAT,SECTOR,DIVISION,LOCATION_DISTRICT,STREET_NUMBER,STREET_NAME,STREET_DIRECTION,STREET_TYPE,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE,LOCATION_LATITUDE,LOCATION_LONGITUDE,INCIDENT_REASON,REASON_FOR_FORCE,TYPE_OF_FORCE_USED1,TYPE_OF_FORCE_USED2,TYPE_OF_FORCE_USED3,TYPE_OF_FORCE_USED4,TYPE_OF_FORCE_USED5,TYPE_OF_FORCE_USED6,TYPE_OF_FORCE_USED7,TYPE_OF_FORCE_USED8,TYPE_OF_FORCE_USED9,TYPE_OF_FORCE_USED10,NUMBER_EC_CYCLES,FORCE_EFFECTIVE
11/12/16,5:50:00 PM," 37987, 37988",8610,Male,White,2/9/05,12,No,No injuries noted or visible,No,47375,NULL,Female,No,No injuries noted or visible,No,NULL,No Arrest,2014,121,120,CENTRAL,D14,2808,Mckinney,NULL,Ave.,2808 MCKINNEY AVE,Dallas,TX,32.798857,-96.801065,Service Call,Other,Verbal Command,Weapon display at Person,,,,,,,,,NULL," Yes, Yes"
8/22/16,5:00:00 PM,36397,7384,Male,Black,3/22/96,20,No,No injuries noted or visible,No,0,Black,Male,No,No injuries noted or visible,Yes,NULL,Fail to ID,2018,155,150,CENTRAL,D2,1600,Haskell,NULL,Ave.,1600 N HASKELL AVE,Dallas,TX,32.799201,-96.782999,Other ( In Narrative),Other,Weapon display at Person,,,,,,,,,,NULL, Yes
12/6/16,2:10:00 AM," 38467, 38468",6282,Male,White,3/26/90,27,No,No injuries noted or visible,No,47671,White,Female,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,2043,116,110,CENTRAL,D2,600,Hall,N,St.,600 N HALL ST,Dallas,TX,32.788476,-96.780873,Arrest,Arrest,Verbal Command,BD - Grabbed,,,,,,,,,NULL," No, Yes"
8/17/16,3:15:00 PM,36255,9912,Male,White,7/8/09,7,No,No injuries noted or visible,No,32815,Black,Male,No,No injuries noted or visible,Yes,Unknown Drugs,Assault/FV,4522,644,640,NORTH CENTRAL,D11,13739,Central,N,Expwy.,13739 N CENTRAL EXPY,Dallas,TX,32.935786,-96.75182,Arrest,Danger to self or others,Weapon display at Person,,,,,,,,,,NULL, Yes
11/19/16,6:24:00 PM," 38140, 38141, 38150",11034,Female,Other,6/3/15,1,No,No injuries noted or visible,No,47472,White,Male,No,No injuries noted or visible,Yes,Unknown Drugs,Resisting Search and Transport,1151,236,230,NORTHEAST,D9,9440,Garland,NULL,Rd.,9440 GARLAND RD,Dallas,TX,32.833273,-96.702721,Service Call,Detention/Frisk,BD - Grabbed,Take Down - Body,Verbal Command,,,,,,,,NULL," No, Yes, No"
11/26/16,2:45:00 AM," 38245, 38246, 38247",10311,Male,White,3/28/12,5,No,No injuries noted or visible,No,47534,Black,Male,Yes,"Injured prior to contact, Injury Not Related to Force, Treated by DFD, OC Spray Treatment, Hospitalized",Yes,Alchohol and unknown drugs,"Disorderly Conduct, Resisting Arrest",1159,143,140,CENTRAL,D14,5039,Willis,NULL,Ave.,5039 WILLIS AVE,Dallas,TX,32.820189,-96.785364,Arrest,Arrest,Verbal Command,Hand Controlled Escort,BD - Tripped,,,,,,,,NULL," No, Yes, Yes"
8/6/16,12:40:00 PM," 36049, 36055",9543,Male,Hispanic,7/23/08,8,No,No injuries noted or visible,No,46090,Hispanic,Male,No,No injuries noted or visible,No,FD-Suspect w/ Gun,No Arrest,4273,728,720,SOUTH CENTRAL,D4,2503,JENNINGS,NULL,Ave.,2503 JENNINGS AVE,Dallas,TX,32.705788,-96.785927,Service Call,Weapon Display,Verbal Command,Weapon display at Person,,,,,,,,,NULL," Yes, Yes"
7/1/16,5:57:00 PM,35492,5882,Male,White,9/30/88,28,No,No injuries noted or visible,No,45700,White,Male,Yes,"Abrasion/Scrape, Taser Burn Marks, Hospitalized",Yes,Mentally unstable,APOWW,1251,332,330,SOUTHEAST,D5,1600,Alhambra,NULL,St.,1600 ALHAMBRA ST,Dallas,TX,32.740025,-96.695389,Arrest,Danger to self or others,Taser,,,,,,,,,,1, Yes
11/20/16,7:30:00 PM," 38208, 38209",10982,Male,Hispanic,3/11/15,2,No,No injuries noted or visible,No,47473,Black,Male,Yes,"Laceration/Cut, Treated by DFD",Yes,Alchohol,Public Intoxication,2214,351,350,SOUTHEAST,D8,7036,Great Trinity Forest way,NULL,Way,7036 GREAT TRINITY FOREST WAY,Dallas,TX,32.713056,-96.700395,Arrest,Arrest,BD - Tripped,BD - Grabbed,,,,,,,,,NULL," Yes, Yes"
7/23/16,8:44:00 PM," 35829, 35845",10818,Male,White,5/7/14,2,No,No injuries noted or visible,No,45944,Black,Male,Yes,"Abrasion/Scrape, Taser Burn Marks, Taser drive stun",Yes,Mentally unstable,APOWW,2047,131,130,CENTRAL,D14,2323,Field,N,St.,2323 N FIELD ST,Dallas,TX,32.788767,-96.806798,Service Call,Active Aggression,Taser,Verbal Command,,,,,,,,,1," Yes, No"
12/12/16,11:30:00 PM," 38604, 38605",7950,Male,White,9/22/00,16,No,No injuries noted or visible,No,47773,Black,Male,Yes,"Abrasion/Scrape, Redness/Swelling",Yes,Alchohol and unknown drugs,"Assault, Fail to ID, Resisting Search and Transport",2064,134,130,CENTRAL,D14,2300,Pacific,NULL,Ave.,2300 PACIFIC AVE,Dallas,TX,32.783918,-96.791585,Arrest,Arrest,Held Suspect Down,Verbal Command,,,,,,,,,NULL," Yes, No"
11/21/16,5:45:00 PM,38148,10822,Male,White,6/18/14,2,No,No injuries noted or visible,No,47477,White,Female,No,No injuries noted or visible,No,Unknown,No Arrest,3094,542,540,NORTHWEST,D2,3700,Mockingbird,NULL,Ln.,3700 W MOCKINGBIRD LN,Dallas,TX,32.836311,-96.833609,Call for Cover,Other,BD - Pushed,,,,,,,,,,NULL, Yes
12/20/16,10:00:00 AM," 38764, 38767",6303,Male,Hispanic,4/9/90,27,No,No injuries noted or visible,No,47829,Hispanic,Male,No,No injuries noted or visible,Yes,FD-Unknown if Armed,"Resisting Search and Transport, Assault/FV",3006,553,550,NORTHWEST,D6,3461,High Mesa,NULL,Dr.,3461 HIGH MESA DR,Dallas,TX,32.914001,-96.860862,Service Call,Detention/Frisk,Verbal Command,BD - Grabbed,,,,,,,,,NULL," No, Yes"
10/18/16,4:20:00 PM," 37537, 37547, 37548, 37549, 37550",9026,Male,Asian,1/10/07,10,No,No injuries noted or visible,No,47043,Black,Male,Yes,OC Spray Treatment,Yes,Alchohol,Warrant/Hold,3112,516,510,NORTHWEST,D6,2797,Irving,NULL,Blvd.,2797 IRVING BLVD,Dallas,TX,32.807685,-96.847191,Service Call,Arrest,Held Suspect Down,Joint Locks,Verbal Command,Weapon display at Person,OC Spray,,,,,,NULL," Yes, Yes, No, No, Yes"
12/8/16,1:17:00 AM," 38497, 38498",11121,Male,Hispanic,12/2/15,1,No,No injuries noted or visible,No,47699,Black,Male,No,No injuries noted or visible,Yes,Unknown,Warrant/Hold,3072,523,520,NORTHWEST,D2,4526,NEWMORE,NULL,Ave.,4526 NEWMORE AVE,Dallas,TX,32.849417,-96.831932,Service Call,Danger to self or others,Verbal Command,Taser Display at Person,,,,,,,,,NULL," No, Yes"
9/2/16,10:24:00 PM,36544,10169,Male,White,6/9/10,6,No,No injuries noted or visible,No,46413,Hispanic,Male,No,No injuries noted or visible,No,None detected,No Arrest,1021,643,640,NORTH CENTRAL,D11,13555,Kit,NULL,Ln.,13555 KIT LN,Dallas,TX,32.930652,-96.762194,Crime in Progress,Weapon Display,Weapon display at Person,,,,,,,,,,NULL, Yes
10/8/16,5:07:00 PM," 37316, 37317, 37318, 37319",9317,Male,White,11/28/07,9,No,No injuries noted or visible,No,46895,Black,Male,Yes,Abrasion/Scrape,Yes,Alchohol and unknown drugs,"Public Intoxication, Drug Possession - Misdemeanor, Resisting Search and Transport",1238,323,320,SOUTHEAST,D7,9595,Scyene,NULL,Rd.,9595 SCYENE RD,Dallas,TX,32.763192,-96.657392,Arrest,Arrest,Verbal Command,Handcuffing Take Down,Joint Locks,Held Suspect Down,,,,,,,NULL," No, Yes, Yes, Yes"
7/2/16,6:41:00 PM," 35420, 35421, 35422",10273,Male,White,9/29/10,6,No,No injuries noted or visible,No,45714,Black,Male,Yes,Abrasion/Scrape,Yes,None detected,Evading Arrest,2149,313,310,SOUTHEAST,D7,3700,Sidney,NULL,St.,3700 SIDNEY ST,Dallas,TX,32.763058,-96.743179,Call for Cover,Arrest,Verbal Command,BD - Pushed,Held Suspect Down,,,,,,,,NULL," No, Yes, Yes"
12/11/16,8:13:00 PM," 38590, 38591",9932,Male,White,8/19/09,7,No,No injuries noted or visible,No,47754,Hispanic,Male,No,Injury Not Related to Force,No,None detected,No Arrest,2043,116,110,CENTRAL,D2,3300,Crutcher,NULL,St.,3300 CRUTCHER ST,Dallas,TX,32.787169,-96.778812,Call for Cover,Weapon Display,Weapon display at Person,Verbal Command,,,,,,,,,NULL," Yes, Yes"
7/1/16,5:57:00 PM," 36014, 36015",10695,Male,White,11/6/13,3,No,No injuries noted or visible,No,45700,White,Male,Yes,Puncture,Yes,Mentally unstable,APOWW,1251,332,330,SOUTHEAST,D5,1600,Alhambra,NULL,St.,1600 ALHAMBRA ST,Dallas,TX,32.740025,-96.695389,Service Call,Danger to self or others,Verbal Command,Held Suspect Down,,,,,,,,,NULL," No, Yes"
9/10/16,8:55:00 AM," 36684, 36685",8958,Male,Asian,11/1/06,10,No,No injuries noted or visible,No,46530,White,Male,No,No injuries noted or visible,No,FD-Unknown if Armed,No Arrest,1001,622,620,NORTH CENTRAL,D12,4920,Cape Coral,NULL,Dr.,4920 CAPE CORAL DR,Dallas,TX,32.996749,-96.8235,Service Call,Detention/Frisk,Verbal Command,Taser Display at Person,,,,,,,,,NULL," No, Yes"
7/8/16,6:04:00 PM,37144,9115,Female,White,5/16/07,9,No,No injuries noted or visible,No,45792,Hispanic,Male,No,No injuries noted or visible,Yes,FD-Suspect Unarmed,Disorderly Conduct,4141,446,440,SOUTHWEST,D1,811,Bishop,S,Ave.,811 S BISHOP AVE,Dallas,TX,32.738086,-96.829045,Service Call,Active Aggression,BD - Pushed,,,,,,,,,,NULL, Yes
9/11/16,9:03:00 PM," 36739, 36740, 36741, 36742, 36743",10864,Male,White,8/13/14,2,Yes,Redness/Swelling,No,46557,White,Male,Yes,"Laceration/Cut, Redness/Swelling",Yes,Alchohol,"Public Intoxication, Criminal Mischief, Resisting Arrest, Fail to ID, Assault/Public Servant",2072,133,130,CENTRAL,D14,1000,COMMERCE,NULL,St.,1000 COMMERCE ST,Dallas,TX,32.779044,-96.803188,Arrest,Active Aggression,Verbal Command,BD - Grabbed,Handcuffing Take Down,Hand/Arm/Elbow Strike,BD - Grabbed,,,,,,NULL," No, Yes, Yes, Yes, Yes"
7/15/16,12:30:00 PM," 35714, 35716, 36052",11022,Female,White,6/3/15,1,No,No injuries noted or visible,No,45851,Hispanic,Male,Yes,"Taser Burn Marks, Abrasion/Scrape",Yes,NULL,"Resisting Arrest, Warrant/Hold, Other Misdemeanor Arrest",1251,332,330,SOUTHEAST,D5,7121,Lake June,NULL,Rd.,7121 LAKE JUNE RD,Dallas,TX,32.734492,-96.699209,Service Call,Arrest,Held Suspect Down,Verbal Command,Taser,,,,,,,,1," Yes, No, Yes"
9/1/16,7:45:00 PM," 36521, 36522, 36523, 36683",11071,Male,White,8/26/15,1,No,No injuries noted or visible,No,34361,Hispanic,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Public Intoxication, Criminal Mischief",2403,424,420,SOUTHWEST,D6,111,Commerce,NULL,St.,111 COMMERCE ST,Dallas,TX,32.775464,-96.82022,Arrest,Detention/Frisk,Verbal Command,Take Down - Head,BD - Grabbed,Held Suspect Down,,,,,,,NULL," No, Yes, Yes, Yes"
7/16/16,3:05:00 PM," 35697, 35698, 35699, 35700",7701,Male,Hispanic,9/18/98,18,No,No injuries noted or visible,No,0,Hispanic,Male,No,No injuries noted or visible,Yes,FD-Suspect Unarmed,Resisting Search and Transport,4120,414,410,SOUTHWEST,D1,105,marsalis,S,Ave.,105 S MARSALIS AVE,Dallas,TX,32.748075,-96.815631,Arrest,Arrest,BD - Pushed,Taser Display at Person,Joint Locks,Verbal Command,,,,,,,NULL," Yes, Yes, Yes, Yes"
9/15/16,7:00:00 PM," 36813, 36814",11071,Male,White,8/26/15,1,No,No injuries noted or visible,No,46609,Hispanic,Female,No,No injuries noted or visible,Yes,None detected,"Other Misdemeanor Arrest, Man/Del/Dangerous Drug",1247,327,320,SOUTHEAST,D7,2100,Masters,N,Dr.,2100 N MASTERS DR,Dallas,TX,32.748826,-96.64826,Traffic Stop,Detention/Frisk,Verbal Command,Take Down - Arm,,,,,,,,,NULL," No, Yes"
9/11/16,8:24:00 PM," 36734, 36735, 36736, 36737",10670,Male,Hispanic,9/25/13,3,No,No injuries noted or visible,No,46555,Black,Female,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,6011,241,240,NORTHEAST,D10,8621,Skyline,NULL,Dr.,8621 SKYLINE DR,Dallas,TX,32.907711,-96.753698,Service Call,Danger to self or others,Verbal Command,Verbal Command,Weapon display at Person,Verbal Command,,,,,,,NULL," No, No, Yes, Yes"
8/28/16,6:52:00 PM,36520,10979,Male,White,1/28/15,2,No,No injuries noted or visible,No,0,Hispanic,Male,No,No injuries noted or visible,Yes,Unknown,No Arrest,4246,722,720,SOUTH CENTRAL,D4,3219,Harlandale,NULL,Ave.,3219 HARLANDALE AVE,Dallas,TX,32.707157,-96.806822,Service Call,Danger to self or others,Weapon display at Person,,,,,,,,,,NULL, Yes
8/6/16,8:46:00 PM,36035,9881,Male,White,6/10/09,7,No,No injuries noted or visible,No,46084,White,Male,No,No injuries noted or visible,Yes,Alchohol,Public Intoxication,2099,115,110,CENTRAL,D7,1700,Exposition,NULL,Ave.,1700 EXPOSITION AVE,Dallas,TX,32.775216,-96.7541,Arrest,Danger to self or others,Pressure Points,,,,,,,,,,NULL, Yes
10/26/16,5:35:00 PM," 37705, 37706",10731,Male,White,1/29/14,3,No,No injuries noted or visible,No,47202,Black,Male,No,"Abrasion/Scrape, Hospital Drug Evaluation",Yes,Unknown Drugs,"Drug Possession - Felony, Drug Possession - Misdemeanor, Evading Arrest, Assault/FV, Other Misdemeanor Arrest",4530,354,350,SOUTHEAST,D8,7919,OLUSTA,NULL,Dr.,7919 OLUSTA DR,Dallas,TX,32.710983,-96.686201,Arrest,Arrest,Verbal Command,Hand/Arm/Elbow Strike,,,,,,,,,NULL," No, Yes"
11/21/16,9:05:00 PM,38181,9855,Male,White,6/10/09,7,No,No injuries noted or visible,No,47499,Black,Male,Yes,Abrasion/Scrape,Yes,Mentally unstable,APOWW,1053,244,240,NORTHEAST,D10,8110,Skillman,NULL,St.,8110 SKILLMAN ST,Dallas,TX,32.891071,-96.728473,Arrest,Arrest,Take Down - Arm,,,,,,,,,,NULL, Yes
10/16/16,5:28:00 PM,37700,10568,Male,White,6/19/13,3,No,No injuries noted or visible,No,26044,Black,Male,No,"Taser Burn Marks, Treated by DFD",Yes,Unknown Drugs,"Warrant/Hold, Resisting Arrest, DWI",4173,715,710,SOUTH CENTRAL,D4,1200,Corinth St,S,Rd.,1200 S CORINTH STHY,Dallas,TX,32.732661,-96.800022,Service Call,Danger to self or others,BD - Grabbed,,,,,,,,,,NULL, Yes
11/26/16,6:20:00 PM,38277,9925,Male,Black,8/19/09,7,No,No injuries noted or visible,No,47544,Black,Male,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,4333,751,750,SOUTH CENTRAL,D3,925,Oxbow,NULL,Ln.,925 OXBOW LN,Dallas,TX,32.676832,-96.811441,Service Call,Detention/Frisk,Take Down - Arm,,,,,,,,,,NULL, Yes
11/2/16,3:36:00 PM," 37798, 37799",6270,Male,White,3/26/90,27,Yes,Laceration/Cut,No,47251,White,Male,Yes,"Abrasion/Scrape, Treated by DFD",Yes,Unknown Drugs,"Public Intoxication, Evading Arrest, Resisting Arrest",1008,631,630,NORTH CENTRAL,D11,5000,Verde Valley,NULL,Ln.,5000 VERDE VALLEY LN,Dallas,TX,32.948648,-96.823088,Call for Cover,Active Aggression,Take Down - Body,Joint Locks,,,,,,,,,NULL," Yes, Yes"
8/9/16,5:50:00 PM," 36080, 36081",9674,Male,White,12/10/08,8,No,No injuries noted or visible,No,46111,Black,Male,No,No injuries noted or visible,Yes,Mentally unstable,Warrant/Hold,2073,134,130,CENTRAL,D2,1515,Young,NULL,St.,1515 YOUNG ST,Dallas,TX,32.777848,-96.796942,Service Call,Arrest,Joint Locks,Hand Controlled Escort,,,,,,,,,NULL," Yes, No"
9/28/16,11:45:00 PM," 37079, 37080",6968,Male,Hispanic,4/20/87,29,No,SOARNESS,No,46761,Black,Male,Yes,No injuries noted or visible,Yes,Unknown,"Fail to ID, Resisting Arrest, Warrant/Hold",2004,143,140,CENTRAL,D14,3900,CENTRAL,N,Expwy.,3900 N CENTRAL EXPY,Dallas,TX,32.80732,-96.792843,Arrest,Arrest,Joint Locks,Verbal Command,,,,,,,,,NULL," No, No"
9/30/16,7:25:00 PM," 37150, 37151",10977,Male,White,1/28/15,2,No,No injuries noted or visible,No,46815,Black,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,Assault/Public Servant,6052,315,310,SOUTHEAST,D5,6900,Scyene,NULL,Rd.,6900 SCYENE RD,Dallas,TX,32.763398,-96.702436,Call for Cover,Arrest,Held Suspect Down,Verbal Command,,,,,,,,,NULL," Yes, No"
8/10/16,6:45:00 PM,36093,0,Male,Black,10/28/15,1,No,No injuries noted or visible,No,45803,Black,Male,No,No injuries noted or visible,Yes,Unknown,Assault/FV,4063,424,420,SOUTHWEST,D6,111,Commerce,W,St.,111 W COMMERCE ST,Dallas,TX,32.775095,-96.821913,Other ( In Narrative),Active Aggression,Held Suspect Down,,,,,,,,,,NULL, Yes
9/11/16,6:19:00 PM," 36728, 36729, 36730",10506,Male,White,4/10/13,3,No,No injuries noted or visible,No,46552,Black,Male,No,No injuries noted or visible,No,None detected,No Arrest,4227,717,710,SOUTH CENTRAL,D4,3550,Overton,E,Rd.,3550 E OVERTON RD,Dallas,TX,32.721551,-96.768618,Service Call,Detention/Frisk,Verbal Command,Hand Controlled Escort,BD - Tripped,,,,,,,,NULL," No, Yes, Yes"
7/23/16,8:44:00 PM," 35826, 35827, 35830",9037,Male,White,1/10/07,10,No,No injuries noted or visible,No,45944,Black,Male,Yes,"Abrasion/Scrape, Taser Burn Marks, Taser drive stun",Yes,Mentally unstable,APOWW,2047,131,130,CENTRAL,D14,2323,Field,N,St.,2323 N FIELD ST,Dallas,TX,32.788767,-96.806798,Service Call,Active Aggression,Taser,Taser,Verbal Command,,,,,,,,1," Yes, Yes, No"
10/1/16,1:20:00 AM,37234,7104,Male,Hispanic,8/12/94,22,No,No injuries noted or visible,No,46864,White,Male,No,No injuries noted or visible,No,FD-Suspect w/ Gun,No Arrest,4421,625,620,NORTH CENTRAL,D11,5769,Belt Line,NULL,Rd.,5769 BELT LINE RD,Dallas,TX,32.954057,-96.809861,Service Call,Weapon Display,Weapon display at Person,,,,,,,,,,NULL, Yes
8/2/16,1:00:00 AM," 35964, 35965, 35966, 35967, 35968, 35969",9151,Male,White,6/27/07,9,Yes,Abrasion/Scrape,No,46031,Hispanic,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Assault/Public Servant, Crim Trespass/Bldg/Prop, Resisting Arrest",1110,234,230,NORTHEAST,D9,4835,LAWTHER,W,Dr.,4835 W LAWTHER DR,Dallas,TX,32.854207,-96.730201,Arrest,Arrest,BD - Pushed,Taser,Verbal Command,Joint Locks,Take Down - Body,Verbal Command,,,,,3," Yes, Yes, No, No, Yes, Yes"
12/5/16,12:30:00 AM," 38469, 38470, 38471, 38472",10543,Male,White,5/8/13,4,Yes,Abrasion/Scrape,No,47672,Black,Male,Yes,"Laceration/Cut, OC Spray Treatment",Yes,Alchohol and unknown drugs,"Public Intoxication, Resisting Search and Transport",1218,323,320,SOUTHEAST,D7,5100,Buckner,S,Blvd.,5100 S BUCKNER BLVD,Dallas,TX,32.785544,-96.684451,Arrest,Arrest,Verbal Command,BD - Pushed,Feet/Leg/Knee Strike,OC Spray,,,,,,,NULL," No, No, No, Yes"
10/23/16,7:58:00 AM," 37611, 37612, 37613",9119,Male,Hispanic,5/30/07,9,No,No injuries noted or visible,No,47098,Hispanic,Male,Yes,Abrasion/Scrape,Yes,Alchohol and unknown drugs,Public Intoxication,1217,318,310,SOUTHEAST,D7,4702,Jim Miller,N,Rd.,4702 N JIM MILLER RD,Dallas,TX,32.778565,-96.69998,Service Call,Danger to self or others,Verbal Command,Take Down - Body,OC Spray,,,,,,,,NULL," No, Yes, Yes"
12/26/16,8:50:00 PM," 38895, 38896",11066,Male,White,8/12/15,1,No,No injuries noted or visible,No,31587,Hispanic,Male,No,No injuries noted or visible,Yes,NULL,Warrant/Hold,1222,115,110,CENTRAL,D2,4820,Grand,E,Ave.,4820 E GRAND AVE,Dallas,TX,32.78676,-96.755077,Arrest,Arrest,Verbal Command,Weapon display at Person,,,,,,,,,NULL," Yes, Yes"
7/2/16,12:20:00 AM,35417,11008,Male,Black,3/25/15,1,No,No injuries noted or visible,No,45711,Black,Female,No,No injuries noted or visible,Yes,Alchohol,"Assault, Public Intoxication",2403,424,420,SOUTHWEST,D6,111,commerce,E,St.,111 COMMERCE ST,Dallas,TX,32.775464,-96.82022,Arrest,Active Aggression,Held Suspect Down,,,,,,,,,,NULL, Yes
8/30/16,10:08:00 PM,36555,10822,Male,White,6/18/14,2,No,No injuries noted or visible,No,46428,Black,Female,Yes,Puncture,Yes,Mentally unstable,"Evading Arrest, Resisting Arrest",3026,535,530,NORTHWEST,D6,10800,Dennis,NULL,Rd.,10800 DENNIS RD,Dallas,TX,32.895999,-96.881391,Pedestrian Stop,Danger to self or others,Taser,,,,,,,,,,1, Yes
11/14/16,12:20:00 AM," 37993, 37994, 37995",8093,Male,Hispanic,9/28/01,15,No,No injuries noted or visible,No,47379,White,Female,No,No injuries noted or visible,Yes,Unknown Drugs,APOWW,1216,317,310,SOUTHEAST,D7,8130,R L Thornton Frwy WB SR,E,Frwy.,8130 E R L THORNTON FWY,Dallas,TX,32.793519,-96.700547,Service Call,Danger to self or others,Verbal Command,Held Suspect Down,Joint Locks,,,,,,,,NULL," No, Yes, Yes"
11/1/16,5:10:00 PM,37786,10652,Male,White,9/25/13,3,No,No injuries noted or visible,No,47250,White,Male,Yes,"Redness/Swelling, Abrasion/Scrape",Yes,Unknown Drugs,"Evading Arrest, Theft, Fail to ID",6012,654,650,NORTH CENTRAL,D13,8687,Central Service Rs,N,Expwy.,8687 N CENTRAL SERV W,Dallas,TX,32.86875,-96.770691,Service Call,Arrest,Take Down - Body,,,,,,,,,,NULL, Yes
8/24/16,10:00:00 PM," 36311, 36312",8759,Male,White,12/16/05,11,No,No injuries noted or visible,No,46301,Black,Male,No,No injuries noted or visible,Yes,Unknown Drugs,Warrant/Hold,2060,131,130,CENTRAL,D14,900,pacific,NULL,Ave.,900 PACIFIC AVE,Dallas,TX,32.781088,-96.804695,Arrest,Arrest,Verbal Command,Joint Locks,,,,,,,,,NULL," No, Yes"
9/3/16,5:00:00 PM," 36666, 36667, 36668",10756,Male,White,1/29/14,3,Yes,No injuries noted or visible,Yes,46501,NULL,Male,No,"Abrasion/Scrape, TASER PROBE CONTACT",Yes,None detected,"Evading Arrest, Resisting Arrest, Fail to ID, Warrant/Hold",4441,431,430,SOUTHWEST,D3,418,MOROCCO,S,Ave.,418 S MOROCCO AVE,Dallas,TX,32.742605,-96.91012,Arrest,Arrest,Verbal Command,Taser,BD - Grabbed,,,,,,,,0," No, No, Yes"
10/20/16,5:53:00 PM," 37578, 37579",10731,Male,White,1/29/14,3,No,No injuries noted or visible,No,39717,Black,Female,No,No injuries noted or visible,Yes,Mentally unstable,"APOWW, Drug Possession - Misdemeanor",2214,351,350,SOUTHEAST,D8,6800,Great Trinity Forest,NULL,Way,6800 GREAT TRINITY FOREST WAY,Dallas,TX,32.713029,-96.702442,Arrest,Arrest,Verbal Command,BD - Tripped,,,,,,,,,NULL," No, Yes"
10/25/16,11:05:00 AM," 37660, 37661, 37662, 37663, 37664, 37665, 37666, 37667",10724,Male,White,1/29/14,3,Yes,Abrasion/Scrape,No,31708,Black,Male,No,No injuries noted or visible,Yes,Mentally unstable,Resisting Search and Transport,2072,133,130,CENTRAL,D14,1000,Commerce,NULL,St.,1000 COMMERCE ST,Dallas,TX,32.779044,-96.803188,Service Call,Detention/Frisk,Verbal Command,Joint Locks,Hand/Arm/Elbow Strike,BD - Pushed,Verbal Command,Hand/Arm/Elbow Strike,Pressure Points,Verbal Command,,,NULL," No, Yes, No, Yes, No, Yes, Yes, No"
7/9/16,6:45:00 PM," 35539, 35540, 35541",10724,Male,White,1/29/14,2,No,No injuries noted or visible,No,45803,Black,Male,No,No injuries noted or visible,No,NULL,No Arrest,2086,135,130,CENTRAL,D2,1000,Ceremonial,NULL,Dr.,1000 CEREMONIAL DR,Dallas,TX,32.775101,-96.800198,NULL,NULL,Verbal Command,BD - Grabbed,Joint Locks,,,,,,,,NULL," No, Yes, Yes"
9/11/16,8:32:00 PM,36733,11033,Male,White,6/3/15,1,No,No injuries noted or visible,No,46554,Black,Female,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,6011,241,240,NORTHEAST,D10,8621,Skyline,NULL,Dr.,8621 SKYLINE DR,Dallas,TX,32.907711,-96.753698,Service Call,Weapon Display,Taser Display at Person,,,,,,,,,,NULL, Yes
7/26/16,9:10:00 AM," 35865, 35867",5842,Male,White,8/15/88,28,No,No injuries noted or visible,No,45960,White,Male,Yes,Abrasion/Scrape,No,Mentally unstable,No Arrest,1061,653,650,NORTH CENTRAL,D11,7800,Meadow,NULL,Rd.,7800 MEADOW RD,Dallas,TX,32.887446,-96.772066,Service Call,Detention/Frisk,BD - Pushed,Held Suspect Down,,,,,,,,,NULL," Yes, Yes"
10/2/16,1:30:00 PM,37195,6452,Female,White,8/17/90,26,No,No injuries noted or visible,No,46833,Black,Male,Yes,Abrasion/Scrape,Yes,Unknown Drugs,Other Agency Arrest,9202,153,150,CENTRAL,D2,200,I 45,N,Expwy.,200 N EXPY,Dallas,TX,32.784059,-96.786527,Call for Cover,Arrest,Pressure Points,,,,,,,,,,NULL, Yes
5/17/16,12:29:00 PM,34468,5541,Male,White,4/1/91,25,No,No injuries noted or visible,No,45055,Black,Male,No,No injuries noted or visible,Yes,None detected,Burglary of a Vehicle,4326,735,730,SOUTH CENTRAL,D8,5115,Veterans,NULL,Dr.,5115 VETERANS DR,Dallas,TX,32.687089,-96.777855,Arrest,Arrest,Weapon display at Person,,,,,,,,,,NULL, Yes
